x	y	z
-3.1	13.15	135.0
-3.13	13.18	-28.300755766
-2.73	12.97	-20.5560452196
-2.65	12.94	-15.1540680503
-2.17	12.81	-23.9624889746
-2.08	12.77	-18.4349488229
-1.99	12.74	-23.9624889746
-1.8	12.66	-29.0546040991
-1.55	12.52	-78.690067526
-1.42	11.91	-84.2894068625
-1.4	11.72	-90.0
-1.4	10.74	-84.2894068625
-1.31	10.12	-77.4711922908
-1.29	10.03	-66.8014094864
-1.26	9.96	-101.309932474
-1.3	9.75	-50.1944289077
-1.0	9.4	-45.0
-0.33	8.73	-34.5085229877
-0.17	8.62	-22.380135052
-0.0	8.55	-32.0053832081
0.08	8.5	-22.380135052
0.25	8.43	-15.9453959009
0.32	8.41	-21.8014094864
0.59	8.3	0.0
0.61	8.3	-25.0168934781
0.76	8.23	-18.4349488229
0.85	8.2	-71.0753555839
0.97	7.85	-78.690067526
1.01	7.65	-84.2894068625
1.03	7.45	-95.7105931375
1.0	7.18	-90.0
1.0	7.15	-95.7105931375
0.99	7.05	-101.309932474
0.97	6.95	-106.699244234
0.88	6.66	-153.434948823
0.82	6.63	-146.309932474
0.52	6.43	-167.005383208
0.39	6.4	-151.927513064
0.24	6.32	180.0
0.23	6.32	-138.012787504
0.12	6.22	-143.130102354
-0.12	6.04	-90.0
-0.12	6.03	-142.125016349
-0.26	5.92	-135.0
-0.66	5.5	-160.463345062
-1.1	5.34	-151.699244234
-1.69	5.02	-138.366460663
-2.17	4.58	0.0
-2.17	4.58	-135.0
-2.2	4.55	-97.1250163489
-2.21	4.47	-90.0
-2.21	4.44	-56.309932474
-2.19	4.41	-50.7105931375
-1.59	3.7	-59.0362434679
-1.37	3.3	-71.5650511771
-1.34	3.21	-45.0
-1.33	3.2	-68.1985905136
-1.25	3.0	-78.690067526
-1.1	2.36	-68.1985905136
-1.03	2.17	-45.0
-1.02	2.16	-66.0375110254
-0.94	1.97	-59.0362434679
-0.76	1.68	-45.0
-0.75	1.67	4.23639479906
-0.02	1.73	-5.7105931375
0.36	1.69	-11.309932474
0.46	1.67	-18.4349488229
0.74	1.58	-23.9624889746
1.12	1.41	-33.690067526
1.21	1.35	-26.5650511771
1.31	1.3	-37.8749836511
1.95	0.86	-86.8550425353
