x	y	z
-4.05	14.05	-56.309932474
-3.97	13.93	-12.5288077092
-3.52	13.83	-90.0
-3.52	12.13	-45.0
-1.68	10.28	-130.601294645
-1.92	10.02	-146.309932474
-1.95	10.0	-135.0
-2.29	9.68	-145.007979801
-2.57	9.48	-150.945395901
-3.87	8.79	-145.007979801
-4.19	8.55	-137.726310994
-4.37	8.38	-99.462322208
-4.38	8.32	-63.4349488229
-4.37	8.3	-98.1301023542
-4.38	8.23	-63.4349488229
-4.37	8.21	-98.1301023542
-4.38	8.14	-63.4349488229
-4.37	8.12	-97.1250163489
-4.38	8.04	-45.0
-4.37	8.03	-97.1250163489
-4.38	7.95	-45.0
-4.37	7.94	-97.1250163489
-4.38	7.86	-63.4349488229
-4.37	7.84	-98.1301023542
-4.38	7.77	-63.4349488229
-4.37	7.75	-98.1301023542
-4.38	7.68	-63.4349488229
-4.37	7.66	-97.1250163489
-4.38	7.58	-45.0
-4.37	7.57	-97.1250163489
-4.38	7.49	-45.0
-4.37	7.48	-97.1250163489
-4.38	7.4	-63.4349488229
-4.37	7.38	-98.1301023542
-4.38	7.31	-63.4349488229
-4.37	7.29	-97.1250163489
-4.38	7.21	-45.0
-4.37	7.2	-97.1250163489
-4.38	7.12	-45.0
-4.37	7.11	-97.1250163489
-4.38	7.03	-63.4349488229
-4.37	7.01	-98.1301023542
-4.38	6.94	-63.4349488229
-4.37	6.92	-98.1301023542
-4.38	6.85	-63.4349488229
-4.37	6.83	-96.3401917459
-4.38	6.74	-90.0
-4.39	6.45	-142.066729716
-6.27	4.93	-135.0
-6.63	4.57	-45.0
-6.54	4.48	-50.7105931375
-4.97	2.41	-4.6354634269
-4.4	2.37	11.309932474
-4.35	2.38	-11.309932474
-4.3	2.37	11.309932474
-4.25	2.38	-11.309932474
-4.2	2.37	11.309932474
-4.15	2.38	-18.4349488229
-4.12	2.37	-45.0
-3.59	1.86	-51.6048354968
-2.36	0.31	0.0
-1.68	0.31	6.34019174591
-1.59	0.32	0.0
-1.51	0.32	6.34019174591
-1.42	0.33	12.5288077092
-1.33	0.35	6.34019174591
-1.24	0.36	14.0362434679
-1.11	0.39	0.0
-1.07	0.39	12.5288077092
-0.72	0.47	18.4349488229
-0.63	0.5	12.5288077092
-0.54	0.52	18.4349488229
-0.45	0.55	26.5650511771
-0.37	0.59	18.4349488229
-0.28	0.62	-71.0534953105
