x	y	z
6.25	16.3	-45.0
6.26	16.29	180.0
5.99	16.29	-168.690067526
5.94	16.28	161.565051177
5.91	16.29	-171.869897646
5.84	16.28	180.0
5.6	16.28	-135.0
4.36	14.92	-153.434948823
4.34	14.91	-45.0
4.59	14.64	-51.3401917459
4.8	14.36	-63.4349488229
4.9	14.17	-71.5650511771
4.93	14.08	-45.0
4.94	14.07	-71.5650511771
5.03	13.79	-83.6598082541
5.07	13.4	0.0
5.07	13.4	-84.2894068625
5.09	13.2	-78.690067526
5.11	13.1	-73.300755766
5.17	12.9	-59.0362434679
5.2	12.85	-68.1985905136
5.41	12.38	-108.434948823
5.3	12.05	-116.565051177
5.29	12.03	-77.4711922908
5.31	11.94	-84.8055710923
5.32	11.83	-90.0
5.32	11.73	0.0
5.33	11.73	-84.8055710923
5.35	11.51	-90.0
5.35	11.4	0.0
5.35	11.4	-135.0
5.18	11.21	-129.805571092
5.08	11.09	-121.607502246
4.54	10.14	0.0
4.54	10.14	-79.6951535312
4.57	9.93	-84.8055710923
4.58	9.82	-97.1250163489
4.57	9.74	-71.5650511771
4.58	9.71	-95.7105931375
4.57	9.61	-45.0
4.58	9.6	-90.0
4.58	9.52	-79.3803447238
4.64	9.2	-71.5650511771
4.68	9.08	-119.744881297
4.63	8.99	-130.601294645
4.57	8.92	-116.565051177
4.43	8.63	-106.699244234
4.38	8.44	-95.7105931375
4.37	8.34	-83.6598082541
4.38	8.25	180.0
4.37	8.25	-83.6598082541
4.38	8.16	-95.7105931375
4.37	8.06	-102.528807709
4.35	7.97	-108.434948823
4.28	7.78	-116.565051177
4.09	7.4	-123.690067526
3.95	7.21	-131.633539337
3.87	7.12	0.0
3.87	7.12	-135.0
3.8499999999999996	7.1	-90.0
3.8499999999999996	6.65	0.0
3.8499999999999996	6.65	-135.0
3.54	6.37	-146.309932474
2.55	5.74	-135.0
2.5	5.69	-90.0
2.5	5.55	0.0
2.5	5.55	-90.0
2.5	4.94	-108.434948823
2.49	4.91	-96.3401917459
2.48	4.82	-90.0
2.48	4.73	-95.7105931375
2.47	4.63	-71.5650511771
2.48	4.6	-99.462322208
2.47	4.54	-78.690067526
2.48	4.49	-104.036243468
2.47	4.45	-81.8698976458
2.48	4.38	-116.565051177
2.47	4.36	-82.8749836511
2.48	4.28	-116.565051177
2.47	4.26	-83.6598082541
2.48	4.17	0.0
2.48	4.17	-96.3401917459
2.47	4.08	-63.4349488229
2.48	4.06	-98.1301023542
2.47	3.99	-75.9637565321
2.48	3.95	-101.309932474
2.47	3.9	-87.0643265536
2.49	3.51	-162.80145878
2.07	3.38	-157.380135052
1.9500000000000002	3.33	-167.471192291
1.7599999999999998	3.29	-173.659808254
1.58	3.27	161.565051177
1.5499999999999998	3.28	-171.869897646
1.48	3.27	153.434948823
1.46	3.28	-171.869897646
1.3900000000000001	3.27	153.434948823
1.37	3.28	-172.874983651
1.29	3.27	135.0
1.2799999999999998	3.28	-172.874983651
1.2000000000000002	3.27	135.0
1.19	3.28	-173.659808254
1.1	3.27	135.0
1.0899999999999999	3.28	-172.874983651
1.0099999999999998	3.27	135.0
1.0	3.28	-173.659808254
0.9100000000000001	3.27	90.0
0.9100000000000001	3.28	-173.659808254
0.8199999999999998	3.27	90.0
0.8199999999999998	3.28	-173.659808254
0.73	3.27	174.289406863
0.6299999999999999	3.28	-90.0
0.6299999999999999	3.27	173.659808254
0.54	3.28	-90.0
0.54	3.27	173.659808254
0.44999999999999996	3.28	-135.0
0.43999999999999995	3.27	172.874983651
0.3600000000000001	3.28	-135.0
0.3500000000000001	3.27	173.659808254
0.26	3.28	-173.659808254
0.16999999999999993	3.27	-167.471192291
-0.010000000000000009	3.23	-161.565051177
-0.3999999999999999	3.09	-101.88865804
-0.43999999999999995	2.9	-96.3401917459
-0.44999999999999996	2.81	-90.0
-0.44999999999999996	2.35	0.0
-0.44999999999999996	2.35	-90.0
-0.44999999999999996	1.61	-83.6598082541
-0.42999999999999994	1.43	0.0
-0.42999999999999994	1.43	-71.5650511771
-0.41999999999999993	1.4	-99.462322208
-0.42999999999999994	1.34	-75.9637565321
-0.41999999999999993	1.3	-101.309932474
-0.42999999999999994	1.25	-78.690067526
-0.41999999999999993	1.2	-95.7105931375
-0.43999999999999995	1.0	-101.309932474
-0.59	0.26	-138.17983012
-0.78	0.09	-168.690067526
-1.1099999999999999	0.03	180.0
-1.2	0.03	-173.659808254
-1.29	0.02	170.537677792
-1.35	0.03	-153.434948823
-1.37	0.02	135.0
-1.44	0.09	-128.157226587


