x	y	z
8.54	15.6	-109.156041774
8.59	14.97	-29.251658555
8.68	14.46	-73.5315699212
8.46	13.95	-134.172880664
8.25	13.68	-131.589055045
8.08	13.41	-125.706691401
7.68	12.57	-118.810793743
6.98	12.53	180.0
6.65	12.53	180.0
6.32	12.5	180.0
5.32	12.48	-175.747371036
5.17	12.15	-112.8203466
5.12	11.73	-103.439434017
5.07	11.41	-93.2704879232
4.96	11.09	-103.392497754
4.35	8.51	-90.0
4.24	8.16	-91.1457628382
4.11	7.89	-119.798507496
4.0	7.55	-111.579303692
3.95	7.2	-104.620873989
3.98	6.85	-93.2204078606
4.09	6.44	-81.5624098313
3.8	5.8	-142.001267557
3.01	5.18	-142.001267557
2.75	4.95	-142.001267557
2.6	4.49	-86.4808946183
2.38	4.13	-135.02691206
2.16	3.91	-135.241837943
1.57	3.23	-134.53228974
1.17	2.76	-130.236358309
0.83	2.47	-130.236358309
0.6	2.25	-139.398705355
0.37	2.02	-135.386637941
0.37	2.02	-135.386637941
0.37	2.02	-135.386637941
-0.11	0.63	-79.9188967144
0.0	0.0	-79.9188967144
