x	 y	 z
-8.000000	18.000000	-0.284484
-7.619205	17.888650	-0.680969
-7.230724	17.573877	-0.680969
-6.842242	17.259104	-0.680969
-6.453761	16.944331	2.784202
-6.615408	17.004694	2.560829
-7.032919	17.278690	2.379256
-7.394230	17.623709	2.370795
-7.752792	17.971950	-0.521688
-7.646872	17.911067	-0.680969
-7.258390	17.596294	-0.680969
-6.869909	17.281521	-0.680969
-6.481427	16.966748	-1.218437
-6.325000	16.541332	-1.570796
-6.325000	16.041332	-1.570796
-6.325000	15.541332	-1.570796
-6.325000	15.041332	-1.570796
-6.325000	14.541332	-1.453524
-6.270450	14.078307	-0.250645
-5.790639	13.955461	-0.053566
-5.293236	13.928792	-0.425375
-4.840237	13.723567	-1.189352
-4.674975	13.311534	-1.619446
-4.699290	12.812126	-1.619446
-4.723605	12.312717	-1.619446
-4.747921	11.813309	-1.591345
-4.754856	11.475866	1.461966
-4.700654	11.971937	1.570453
-4.700482	12.471936	1.569439
-4.699804	12.971936	1.531614
-4.680244	13.470883	-1.571180
-4.680348	13.201186	-1.619446
-4.704663	12.701778	-1.619446
-4.728978	12.202370	-1.619446
-4.753293	11.702961	-1.226311
-4.606104	11.292724	-0.382016
-4.143869	11.107020	-0.054642
-3.645873	11.079782	-0.003734
-3.145952	11.077915	-0.253786
-2.665096	10.953191	-1.436485
-2.601305	10.481109	-1.546393
-2.589106	9.981313	-1.545303
-2.576369	9.481797	-1.653188
-2.617478	8.983982	-0.416324
-2.185527	8.792986	-0.361419
-1.718776	8.616543	-1.197246
-1.561896	8.216291	-1.624972
-1.588970	7.717024	-1.624972
-1.616045	7.217758	-1.624972
-1.643120	6.718492	-1.613399
-1.659770	6.327920	1.501230
-1.625077	6.825813	1.570533
-1.624945	7.325813	1.571864
-1.625479	7.825812	1.477266
-1.578898	8.322392	-0.374169
-1.395037	8.250196	-1.053414
-1.147734	7.815637	-1.053414
-0.900431	7.381078	-1.053414
-0.653128	6.946520	-1.053414
-0.405825	6.511961	-1.053414
-0.158521	6.077403	-1.606071
-0.165936	5.867279	3.016962
-0.658277	5.928960	3.001159
-1.149336	5.998378	2.678048
-1.595248	6.221276	-1.363991
-1.525364	5.888187	-1.218244
-1.352717	5.418939	-1.218244
-1.180070	4.949692	-1.218244
-1.007423	4.480445	-1.218244
-0.834776	4.011198	-1.218244
-0.662129	3.541950	-1.218244
-0.489482	3.072703	-1.218244
-0.316835	2.603456	-1.218244
-0.144187	2.134209	-1.134789
0.000000	1.824735	1.570796
0.000000	2.324735	1.570796
0.000000	2.824735	1.570796
0.000000	3.324735	1.570796
0.000000	3.824735	1.570796
0.000000	4.324735	1.570796
0.000000	4.824735	1.570796
0.000000	5.324735	1.570796
0.000000	5.772967	-1.570796
0.000000	5.272967	-1.570796
0.000000	4.772967	-1.570796
0.000000	4.272967	-1.570796
0.000000	3.772967	-1.570796
0.000000	3.272967	-1.570796
0.000000	2.772967	-1.570796
0.000000	2.272967	-1.570796
0.000000	1.772967	-1.835569
-0.104856	1.386243	-1.495300
-0.067143	0.887667	-1.495300
-0.029431	0.389091	-1.495300
-0.008281	0.109484	1.646293
-0.045994	0.608060	1.646293
-0.083706	1.106636	1.646293
-0.121419	1.605212	1.646293
-0.130318	1.722867	1.646293
