x	y	z
-6.00	0.00	1.48
-5.91	1.00	1.48
-5.82	1.99	1.55
-5.79	2.93	2.36
-6.38	3.51	1.57
-6.38	4.51	1.57
-6.38	5.51	0.52
-5.64	5.93	0.32
-4.71	6.24	1.56
-4.70	7.21	1.60
-4.73	8.21	0.77
-4.13	8.78	0.03
-3.13	8.81	0.82
-2.58	9.41	1.59
-2.60	10.41	1.01
-2.18	11.09	0.19
-1.26	11.26	-0.07
-0.27	11.19	0.01
0.73	11.20	0.62
1.43	11.71	1.55
1.45	12.70	1.42
1.59	13.64	0.20
2.56	13.84	0.91
3.05	14.48	1.57
3.05	15.48	1.57
3.05	16.48	0.79
3.54	16.98	0.00
4.54	16.98	-0.00
5.54	16.98	1.07
5.94	17.71	1.36
6.00	18.00	1.36
