x	y	z
-7.08	15.78	113.0
-6.68	15.75	2.69
-6.27	15.72	2.69
-6.12	15.25	-66.12
-5.97	14.79	-66.12
-5.82	14.32	-66.12
-5.98	14.05	-131.81
-6.15	13.78	-131.81
-6.32	13.38	-106.6
-6.48	12.98	-106.6
-6.65	12.58	-106.6
-6.82	12.18	-106.6
-7.15	11.85	-137.39
-7.06	11.49	-86.54
-6.97	11.12	-86.54
-6.88	10.76	-86.54
-6.46	10.66	-20.06
-6.03	10.57	-20.06
-5.75	10.23	-46.88
-5.47	9.89	-46.88
-5.19	9.56	-46.88
-4.91	9.22	-46.88
-4.63	8.88	-46.88
-4.35	8.55	-46.88
-4.38	8.06	-94.35
-4.41	7.58	-94.35
-4.44	7.1	-94.35
-4.48	6.62	-94.35
-4.86	6.31	-143.43
-5.24	6.01	-143.43
-5.62	5.71	-143.43
-6.0	5.41	-143.43
-6.38	5.11	-143.43
-6.75	4.81	-143.43
-6.46	4.42	-45.39
-6.17	4.03	-45.39
-5.88	3.64	-45.39
-5.59	3.25	-45.39
-5.3	2.86	-45.39
-5.01	2.46	-45.39
-4.64	2.46	-0.7
-4.28	2.46	-0.7
-4.0	2.11	-42.36
-3.72	1.77	-42.36
-3.44	1.42	-42.36
-3.17	1.07	-42.36
-2.89	0.72	-42.36
-2.61	0.37	-42.36
-2.17	0.43	2.55
-1.72	0.49	2.55
-1.28	0.55	2.55
-0.84	0.61	2.55
-0.39	0.66	2.55
-0.39	0.66	-59.47
-0.2	0.33	-59.47
0.0	0.0	-59.47
