x	y	z
8.0	17.6	142.608889477
7.57	17.93	142.608889477
6.71	17.12	-137.35015952
6.18	16.87	-153.434948823
6.18	14.07	-90.0
5.99	14.0	-152.525568374
5.83	13.95	-166.171349028
5.66	13.96	179.559271927
5.64	13.96	165.343248884
5.5	13.95	-176.03968817
5.43	13.96	169.540090907
5.33	13.95	-171.684874243
5.21	13.96	173.85337434
5.0	13.91	-167.4245345
4.57	13.69	-151.020292302
4.49	13.62	-137.38594403
4.53	13.28	-80.9097230792
4.52	12.3	-95.9374160995
4.61	11.37	-82.767309039
4.25	11.16	-145.619655276
4.05	11.1	-161.565051177
3.85	11.07	-173.659808254
3.77	11.08	173.659808254
3.65	11.07	-175.55261515
3.59	11.08	171.780790751
3.45	11.08	-177.45519562
3.43	11.08	169.919402012
3.26	11.08	-179.363406424
3.25	11.08	-168.690067526
3.09	11.08	178.72696998
3.05	11.08	-170.537677792
2.91	11.08	176.82016988
2.75	11.06	-172.405356631
2.47	10.96	-162.139905929
2.5	10.21	-86.423665625
2.48	10.05	-99.605204155
2.5	9.96	-78.0238675558
2.48	9.73	-95.1944289077
2.48	9.71	-74.1676133796
2.48	9.46	-90.8550973963
2.47	9.42	-107.402704131
2.5	8.94	-86.6335393366
2.28	8.86	-152.42543604
1.93	8.8	-170.537677792
1.43	8.56	-156.194056482
1.4	8.54	-141.649784083
1.48	8.03	-78.690067526
1.48	6.46	-94.118189704
1.51	6.25	-80.9097230792
1.3	6.1	-136.847610266
0.9	5.94	-156.370622269
0.7	5.92	-175.91438322
0.67	5.93	167.905242923
0.5	5.93	-178.772421168
0.5	5.93	-165.579226873
0.34	5.93	178.363422958
0.17	5.9	-168.29709852
0.0	5.83	-156.113500078
0.0	1.73	-90.0
0.0	1.73	-90.0
0.0	0.0	-90.0
