x	y	z
7.89	18.38	-178.65
6.6	17.21	-136.04
6.21	17.08	-162.65
6.24	14.28	-97.59
6.05	14.21	-152.26
5.89	14.19	-173.23
5.84	14.2	175.53
5.73	14.18	-173.89
5.69	14.19	174.91
5.57	14.18	-174.55
5.54	14.18	174.29
5.42	14.17	-175.2
5.39	14.17	173.68
5.26	14.16	-175.85
5.24	14.16	173.07
4.8	14.05	-176.5
4.54	13.87	-147.89
4.65	11.59	-80.91
4.12	11.31	-141.91
3.97	11.29	-171.67
3.65	11.3	179.14
3.38	11.3	-179.43
3.17	11.31	172.11
2.53	11.2	-177.33
2.55	9.15	-83.29
1.49	8.74	-153.43
1.51	6.49	-75.47
0.98	6.16	-135.94
0.83	6.14	-171.98
0.7	6.15	175.95
0.68	6.15	-171.33
0.54	6.16	176.71
0.53	6.16	-170.7
0.38	6.16	177.46
0.06	6.07	-170.07
0.13	1.96	-86.19
-0.16	1.93	-170.23
-0.16	1.93	-85.14
0.0	0.0	-85.14
