x	y	z
8.0	17.6	142.608889477
7.14	17.51	-137.35015952
6.92	17.29	-135.324108432
6.24	16.89	-131.905941941
6.18	16.42	-90.0
6.18	15.99	-90.0
6.18	15.56	-90.0
6.18	15.13	-90.0
6.18	14.7	-90.0
5.83	13.95	-152.525568374
5.5	13.95	-166.171349028
5.0	13.91	-176.03968817
4.57	13.69	-167.4245345
4.53	13.28	-80.9097230792
4.53	12.95	-88.3961372288
4.53	12.62	-88.9375455189
4.52	12.3	-89.4791436255
4.52	11.98	-90.020834828
4.54	11.66	-90.562522306
4.26	11.17	-145.619655276
3.85	11.07	-154.653824058
3.45	11.08	-173.659808254
3.09	11.08	-177.45519562
2.75	11.06	178.72696998
2.51	10.46	-86.423665625
2.48	10.05	-86.423665625
2.48	9.73	-99.605204155
2.47	9.42	-95.1944289077
1.93	8.8	-152.42543604
1.43	8.56	-170.537677792
1.47	8.2	-78.690067526
1.48	7.85	-78.690067526
1.48	7.51	-86.5663696375
1.48	7.17	-87.0233005319
1.48	6.84	-87.4806107088
1.48	6.46	-87.9382423092
1.11	6.02	-136.847610266
0.7	5.92	-156.370622269
0.34	5.93	-175.91438322
0.01	5.83	178.363422958
0.0	5.43	-90.0
0.0	5.03	-90.0
0.0	4.63	-90.0
0.0	4.23	-90.0
0.0	3.83	-90.0
0.0	3.43	-90.0
0.0	2.93	-90.0
0.0	2.93	-90.0
0.0	1.73	-90.0
0.0	1.3	-90.0
0.0	0.86	-90.0
0.0	0.43	-90.0
0.0	0.0	-90.0
