x	y	z
8.0	17.6	142.61
7.57	17.93	142.61
6.71	17.12	-137.35
6.18	16.87	-153.43
6.18	14.07	-90.0
6.49	13.96	-19.12
6.65	13.95	-2.64
6.71	13.96	11.73
6.82	13.95	-7.02
6.92	13.96	7.45
7.14	13.92	-11.31
7.57	13.7	-27.96
7.66	13.62	-41.99
7.62	13.28	-99.09
7.63	13.18	-84.06
7.63	12.95	-97.37
7.63	12.89	-82.33
7.63	12.62	-95.63
7.63	12.6	-80.61
7.53	11.34	-93.89
6.99	10.92	-147.38
6.97	9.55	-88.21
6.95	8.96	-99.46
6.5	8.76	-149.74
6.18	8.7	-166.79
6.05	8.71	177.51
6.02	8.7	-172.57
5.85	8.71	179.5
5.7	8.7	-178.51
5.65	8.71	173.55
5.54	8.7	-176.52
5.45	8.71	175.53
5.38	8.7	-174.54
5.25	8.71	177.51
4.85	8.62	-172.57
4.62	8.52	-154.44
4.55	8.03	-100.89
4.54	6.42	-86.04
4.51	6.27	-100.89
4.15	6.1	-151.19
3.95	6.06	-168.11
3.77	6.06	180.0
3.75	6.05	-169.85
3.6	6.06	178.19
3.26	5.98	-171.62
3.13	5.92	-153.19
3.13	1.75	-90.0
3.13	1.75	-150.8
0.0	0.0	-150.8
