x	y	z
-14.67	13.87	-49.43
-12.94	11.85	-49.43
-11.37	12.61	34.37
-9.68	12.94	9.57
-7.5	11.54	-29.95
-7.37	10.42	-84.61
-5.55	9.76	-28.84
-3.63	9.98	-4.73
-2.17	10.99	21.6
-1.87	11.36	49.94
1.76	8.44	-31.72
0.63	6.17	-124.46
0.73	4.3	-98.04
1.19	3.2	-74.54
0.75	1.89	-117.24
0.98	0.03	-93.7
1.74	-1.23	-67.84
1.05	-2.65	-127.26
1.04	-4.53	-99.96
3.86	-8.47	-71.64
3.86	-8.47	23.87
4.04	-8.39	23.87
9.25	-11.73	-26.24
9.37	-13.58	-82.95
10.79	-14.26	-35.11
13.19	-14.18	-12.5
14.88	-13.29	17.84
16.65	-14.19	-37.01
19.05	-14.14	-12.47
20.12	-13.71	16.43
20.12	-13.71	41.57
20.19	-13.65	41.57
