x	y	z
-14.67	13.87	-49.43
-12.94	11.85	-49.43
-11.37	12.61	34.37
-9.68	12.94	9.57
-7.63	11.65	-29.95
-7.63	11.65	0.08
-7.4	11.65	0.08
-4.75	9.81	-45.23
-1.88	11.39	30.76
1.76	8.44	-39.63
0.61	6.41	-126.24
0.71	3.87	-103.14
0.79	3.64	-70.37
1.36	3.2	-37.48
0.89	0.66	-101.56
1.99	-1.23	-59.98
1.07	-2.32	-139.0
0.57	-4.42	-115.8
1.57	-5.95	-71.97
2.54	-6.71	-40.91
3.5	-8.43	-72.39
4.44	-9.41	-49.65
5.8	-9.36	6.47
9.25	-11.77	-31.93
9.37	-13.58	-82.95
10.79	-14.26	-35.11
13.19	-14.18	-12.5
14.88	-13.29	17.84
16.65	-14.19	-37.01
19.05	-14.14	-12.47
20.12	-13.71	16.43
20.12	-13.71	41.57
20.19	-13.65	41.57
