x	y	z
-12.5	-2.47	10.75
-12.02	-2.38	10.75
-11.64	0.05	80.95
-12.2	1.81	118.3
-11.31	3.05	43.96
-12.35	5.88	111.25
-10.91	8.73	52.33
-9.98	8.77	3.18
-7.57	11.73	46.33
-7.57	11.73	10.32
-7.49	11.74	10.32
-4.32	9.56	-45.23
-3.13	10.03	10.54
-1.87	11.36	35.55
0.87	9.12	-31.72
3.12	9.72	4.58
4.37	9.28	-25.43
7.94	10.82	29.74
9.18	9.79	-51.15
9.58	9.62	-24.85
12.63	11.14	28.61
15.59	9.41	-34.96
15.42	7.63	-104.56
16.21	5.17	-80.24
16.3	5.02	-56.07
18.39	5.12	0.0
20.51	2.36	-50.03
20.14	0.09	-86.01
19.98	-0.28	-112.71
20.55	-2.32	-64.31
20.3	-4.99	-87.83
20.25	-5.12	-112.11
20.56	-7.67	-71.65
19.99	-9.68	-95.58
20.46	-11.68	-66.29
20.38	-13.55	-89.69
20.31	-13.6	-147.34
20.31	-13.6	-159.22
20.19	-13.65	-159.22
